,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
16,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 100, 104, 278, 282, 378, 384, 462]","[42, 90, 136, 183, 229, 276, 322, 369, 416, 462]",0.12,13.43,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr10k.MXML,fr,10000,Fixed,1000,Fixed,True,200,3,9
17,threshold_strategy,fixed_cramersv_frequency,"[50, 53, 65, 71, 78, 83, 86, 90, 144, 152, 164, 184, 234, 257, 292, 295, 336, 341, 347, 354, 418, 423, 446, 456, 462]","[42, 90, 136, 183, 229, 276, 322, 369, 416, 462]",0.36,14.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr10k.MXML,fr,10000,Fixed,1000,Fixed,True,200,3,9
18,time_series_strategy,cpd_frequency_delta3,"[35, 87, 136, 183, 230, 280, 330, 375, 426, 463]","[27, 77, 124, 173, 220, 271, 317, 367, 414, 463]",1.0,10.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO10k.MXML,RIO,10000,Fixed,4000,Fixed,True,200,3,24
19,time_series_strategy,cpd_prob_freq_delta3,"[41, 84, 138, 181, 235, 278, 331, 374, 428, 463]","[27, 77, 124, 173, 220, 271, 317, 367, 414, 463]",1.0,11.11,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO10k.MXML,RIO,10000,Fixed,4000,Fixed,True,200,3,24
20,time_series_strategy,cpd_cramersv_frequency,"[35, 90, 132, 187, 229, 283, 326, 380, 422, 463]","[27, 77, 124, 173, 220, 271, 317, 367, 414, 463]",1.0,10.44,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO10k.MXML,RIO,10000,Fixed,4000,Fixed,True,200,3,24
21,threshold_strategy,gtest_frequency3,"[30, 94, 126, 190, 223, 288, 319, 383, 416, 463]","[27, 77, 124, 173, 220, 271, 317, 367, 414, 463]",1.0,8.78,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO10k.MXML,RIO,10000,Fixed,4000,Fixed,True,200,3,24
22,threshold_strategy,fixed_frequency_delta_percentage3,"[30, 90, 131, 188, 225, 287, 323, 379, 420, 463]","[27, 77, 124, 173, 220, 271, 317, 367, 414, 463]",1.0,9.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO10k.MXML,RIO,10000,Fixed,4000,Fixed,True,200,3,24
23,threshold_strategy,fixed_cramersv_frequency,"[30, 93, 127, 190, 223, 288, 319, 383, 417, 463]","[27, 77, 124, 173, 220, 271, 317, 367, 414, 463]",1.0,8.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO10k.MXML,RIO,10000,Fixed,4000,Fixed,True,200,3,24
24,time_series_strategy,cpd_frequency_delta3,"[26, 61, 101, 137, 169, 210, 248, 281, 320, 343]","[15, 53, 87, 125, 160, 198, 233, 270, 305, 343]",1.0,11.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO7.5k.MXML,RIO,7500,Fixed,4000,Fixed,True,200,3,24
25,time_series_strategy,cpd_prob_freq_delta3,"[29, 61, 102, 133, 173, 205, 248, 278, 320, 343]","[15, 53, 87, 125, 160, 198, 233, 270, 305, 343]",1.0,11.44,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO7.5k.MXML,RIO,7500,Fixed,4000,Fixed,True,200,3,24
26,time_series_strategy,cpd_cramersv_frequency,"[24, 66, 97, 138, 168, 211, 244, 283, 315, 343]","[15, 53, 87, 125, 160, 198, 233, 270, 305, 343]",1.0,11.11,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO7.5k.MXML,RIO,7500,Fixed,4000,Fixed,True,200,3,24
27,threshold_strategy,gtest_frequency3,"[18, 69, 91, 142, 162, 215, 236, 287, 308, 343]","[15, 53, 87, 125, 160, 198, 233, 270, 305, 343]",1.0,9.11,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO7.5k.MXML,RIO,7500,Fixed,4000,Fixed,True,200,3,24
28,threshold_strategy,fixed_frequency_delta_percentage3,"[23, 64, 95, 138, 163, 213, 244, 284, 314, 343]","[15, 53, 87, 125, 160, 198, 233, 270, 305, 343]",1.0,10.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO7.5k.MXML,RIO,7500,Fixed,4000,Fixed,True,200,3,24
29,threshold_strategy,fixed_cramersv_frequency,"[18, 69, 91, 142, 162, 215, 237, 287, 309, 343]","[15, 53, 87, 125, 160, 198, 233, 270, 305, 343]",1.0,9.33,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\RIO\RIO7.5k.MXML,RIO,7500,Fixed,4000,Fixed,True,200,3,24
30,time_series_strategy,cpd_frequency_delta3,"[37, 86, 134, 180, 227, 274, 320, 368, 417, 452]","[27, 76, 122, 170, 217, 264, 310, 357, 404, 452]",1.0,10.67,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI10k.MXML,ROI,10000,Fixed,4000,Fixed,True,200,3,24
31,time_series_strategy,cpd_prob_freq_delta3,"[42, 82, 138, 176, 232, 270, 325, 364, 421, 452]","[27, 76, 122, 170, 217, 264, 310, 357, 404, 452]",1.0,11.44,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI10k.MXML,ROI,10000,Fixed,4000,Fixed,True,200,3,24
32,time_series_strategy,cpd_cramersv_frequency,"[35, 88, 133, 182, 226, 276, 320, 369, 416, 452]","[27, 76, 122, 170, 217, 264, 310, 357, 404, 452]",1.0,10.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI10k.MXML,ROI,10000,Fixed,4000,Fixed,True,200,3,24
33,threshold_strategy,gtest_frequency3,"[28, 95, 123, 189, 218, 283, 311, 376, 405, 452]","[27, 76, 122, 170, 217, 264, 310, 357, 404, 452]",1.0,9.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI10k.MXML,ROI,10000,Fixed,4000,Fixed,True,200,3,24
34,threshold_strategy,fixed_frequency_delta_percentage3,"[27, 94, 123, 188, 218, 283, 311, 375, 406, 452]","[27, 76, 122, 170, 217, 264, 310, 357, 404, 452]",1.0,8.67,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI10k.MXML,ROI,10000,Fixed,4000,Fixed,True,200,3,24
35,threshold_strategy,fixed_cramersv_frequency,"[28, 95, 123, 189, 218, 283, 311, 376, 405, 452]","[27, 76, 122, 170, 217, 264, 310, 357, 404, 452]",1.0,9.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI10k.MXML,ROI,10000,Fixed,4000,Fixed,True,200,3,24
36,time_series_strategy,cpd_frequency_delta3,"[25, 61, 97, 133, 169, 204, 240, 276, 311, 335]","[15, 51, 85, 122, 157, 193, 228, 264, 299, 335]",1.0,11.33,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI7.5k.MXML,ROI,7500,Fixed,4000,Fixed,True,200,3,24
37,time_series_strategy,cpd_prob_freq_delta3,"[29, 58, 100, 129, 171, 201, 243, 271, 314, 335]","[15, 51, 85, 122, 157, 193, 228, 264, 299, 335]",1.0,11.33,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI7.5k.MXML,ROI,7500,Fixed,4000,Fixed,True,200,3,24
38,time_series_strategy,cpd_cramersv_frequency,"[24, 63, 96, 133, 167, 205, 239, 275, 311, 335]","[15, 51, 85, 122, 157, 193, 228, 264, 299, 335]",1.0,11.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI7.5k.MXML,ROI,7500,Fixed,4000,Fixed,True,200,3,24
39,threshold_strategy,gtest_frequency3,"[16, 70, 86, 141, 158, 212, 229, 284, 300, 335]","[15, 51, 85, 122, 157, 193, 228, 264, 299, 335]",1.0,7.44,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI7.5k.MXML,ROI,7500,Fixed,4000,Fixed,True,200,3,24
40,threshold_strategy,fixed_frequency_delta_percentage3,"[18, 68, 88, 141, 159, 212, 230, 282, 302, 335]","[15, 51, 85, 122, 157, 193, 228, 264, 299, 335]",1.0,8.78,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI7.5k.MXML,ROI,7500,Fixed,4000,Fixed,True,200,3,24
41,threshold_strategy,fixed_cramersv_frequency,"[16, 70, 86, 141, 158, 212, 229, 283, 300, 335]","[15, 51, 85, 122, 157, 193, 228, 264, 299, 335]",1.0,7.56,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\ROI\ROI7.5k.MXML,ROI,7500,Fixed,4000,Fixed,True,200,3,24
42,time_series_strategy,cpd_frequency_delta3,"[36, 84, 132, 177, 225, 273, 317, 363, 412, 447]","[27, 74, 120, 167, 214, 260, 307, 354, 401, 447]",1.0,10.56,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp10k.mxml,rp,10000,Fixed,4000,Fixed,True,200,3,24
43,time_series_strategy,cpd_prob_freq_delta3,"[41, 80, 136, 173, 229, 267, 322, 360, 417, 447]","[27, 74, 120, 167, 214, 260, 307, 354, 401, 447]",1.0,11.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp10k.mxml,rp,10000,Fixed,4000,Fixed,True,200,3,24
44,time_series_strategy,cpd_cramersv_frequency,"[35, 85, 130, 179, 224, 273, 317, 365, 412, 447]","[27, 74, 120, 167, 214, 260, 307, 354, 401, 447]",1.0,10.67,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp10k.mxml,rp,10000,Fixed,4000,Fixed,True,200,3,24
45,threshold_strategy,gtest_frequency3,"[29, 92, 122, 185, 216, 279, 309, 371, 403, 447]","[27, 74, 120, 167, 214, 260, 307, 354, 401, 447]",1.0,9.11,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp10k.mxml,rp,10000,Fixed,4000,Fixed,True,200,3,24
46,threshold_strategy,fixed_frequency_delta_percentage3,"[29, 88, 121, 183, 217, 279, 309, 368, 406, 447]","[27, 74, 120, 167, 214, 260, 307, 354, 401, 447]",1.0,8.44,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp10k.mxml,rp,10000,Fixed,4000,Fixed,True,200,3,24
47,threshold_strategy,fixed_cramersv_frequency,"[29, 91, 122, 185, 216, 279, 309, 371, 403, 447]","[27, 74, 120, 167, 214, 260, 307, 354, 401, 447]",1.0,9.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp10k.mxml,rp,10000,Fixed,4000,Fixed,True,200,3,24
48,time_series_strategy,cpd_frequency_delta3,"[27, 60, 97, 130, 166, 202, 237, 268, 308, 330]","[15, 50, 85, 119, 155, 190, 225, 260, 295, 330]",1.0,11.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp7.5k.MXML,rp,7500,Fixed,4000,Fixed,True,200,3,24
49,time_series_strategy,cpd_prob_freq_delta3,"[29, 58, 100, 126, 170, 197, 239, 267, 309, 330]","[15, 50, 85, 119, 155, 190, 225, 260, 295, 330]",1.0,11.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp7.5k.MXML,rp,7500,Fixed,4000,Fixed,True,200,3,24
