,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,log_size,change_pattern,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
16,threshold_strategy,fixed_frequency_delta_percentage3,"[3, 305]","[96, 201, 305]",0.0,93.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\Frequency\output\Frequency_2.mxml.gz,Size1,Frequency_2,2,Fixed,2000,Fixed,True,200,3,14
17,threshold_strategy,fixed_cramersv_frequency3,"[99, 124, 132, 164, 181, 195, 305]","[96, 201, 305]",0.5,21.67,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\Frequency\output\Frequency_2.mxml.gz,Size1,Frequency_2,2,Fixed,2000,Fixed,True,200,3,14
18,time_series_strategy,cpd_frequency_delta3,"[34, 132, 148, 304, 467]","[148, 307, 467]",0.67,33.25,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size2,SerialMove_2,2,Fixed,2000,Fixed,True,200,3,14
19,time_series_strategy,cpd_prob_freq_delta3,"[133, 152, 299, 310, 467]","[148, 307, 467]",0.67,7.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size2,SerialMove_2,2,Fixed,2000,Fixed,True,200,3,14
20,time_series_strategy,cpd_cramersv_frequency3,"[146, 184, 263, 304, 467]","[148, 307, 467]",0.67,21.25,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size2,SerialMove_2,2,Fixed,2000,Fixed,True,200,3,14
21,threshold_strategy,gtest_frequency3,"[147, 301, 467]","[148, 307, 467]",1.0,3.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size2,SerialMove_2,2,Fixed,2000,Fixed,True,200,3,14
22,threshold_strategy,fixed_frequency_delta_percentage3,"[3, 467]","[148, 307, 467]",0.0,145.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size2,SerialMove_2,2,Fixed,2000,Fixed,True,200,3,14
23,threshold_strategy,fixed_cramersv_frequency3,"[147, 302, 467]","[148, 307, 467]",1.0,3.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size2,SerialMove_2,2,Fixed,2000,Fixed,True,200,3,14
24,time_series_strategy,cpd_frequency_delta3,"[64, 70, 144, 218]","[70, 144, 218]",0.8,2.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size4,SerialMove_2,2,Fixed,2000,Fixed,True,500,3,8
25,time_series_strategy,cpd_prob_freq_delta3,"[65, 71, 142, 218]","[70, 144, 218]",0.8,2.67,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size4,SerialMove_2,2,Fixed,2000,Fixed,True,500,3,8
26,time_series_strategy,cpd_cramersv_frequency3,"[70, 76, 90, 107, 112, 142, 218]","[70, 144, 218]",0.5,16.17,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size4,SerialMove_2,2,Fixed,2000,Fixed,True,500,3,8
27,threshold_strategy,gtest_frequency3,"[70, 138, 218]","[70, 144, 218]",1.0,3.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size4,SerialMove_2,2,Fixed,2000,Fixed,True,500,3,8
28,threshold_strategy,fixed_frequency_delta_percentage3,[218],"[70, 144, 218]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size4,SerialMove_2,2,Fixed,2000,Fixed,True,500,3,8
29,threshold_strategy,fixed_cramersv_frequency3,"[70, 139, 218]","[70, 144, 218]",1.0,2.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_2.mxml.gz,Size4,SerialMove_2,2,Fixed,2000,Fixed,True,500,3,8
30,time_series_strategy,cpd_frequency_delta3,"[65, 71, 145, 150, 192, 214, 222]","[72, 147, 222]",0.5,20.83,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size4,SerialMove_5,5,Fixed,2000,Fixed,True,500,3,8
31,time_series_strategy,cpd_prob_freq_delta3,"[71, 146, 192, 211, 222]","[72, 147, 222]",0.67,27.75,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size4,SerialMove_5,5,Fixed,2000,Fixed,True,500,3,8
32,time_series_strategy,cpd_cramersv_frequency3,[222],"[72, 147, 222]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size4,SerialMove_5,5,Fixed,2000,Fixed,True,500,3,8
33,threshold_strategy,gtest_frequency3,[222],"[72, 147, 222]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size4,SerialMove_5,5,Fixed,2000,Fixed,True,500,3,8
34,threshold_strategy,fixed_frequency_delta_percentage3,[222],"[72, 147, 222]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size4,SerialMove_5,5,Fixed,2000,Fixed,True,500,3,8
35,threshold_strategy,fixed_cramersv_frequency3,"[83, 89, 98, 104, 115, 134, 222]","[72, 147, 222]",0.0,21.83,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size4,SerialMove_5,5,Fixed,2000,Fixed,True,500,3,8
36,time_series_strategy,cpd_frequency_delta3,"[19, 59, 118, 181]","[59, 119, 181]",0.8,13.67,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval.mxml.gz,Size4,SerialRemoval,0,Fixed,2000,Fixed,True,500,3,8
37,time_series_strategy,cpd_prob_freq_delta3,"[17, 59, 93, 98, 116, 126, 149, 181]","[59, 119, 181]",0.44,18.43,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval.mxml.gz,Size4,SerialRemoval,0,Fixed,2000,Fixed,True,500,3,8
38,time_series_strategy,cpd_cramersv_frequency3,"[58, 63, 89, 94, 99, 104, 119, 181]","[59, 119, 181]",0.44,13.57,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval.mxml.gz,Size4,SerialRemoval,0,Fixed,2000,Fixed,True,500,3,8
39,threshold_strategy,gtest_frequency3,"[58, 117, 181]","[59, 119, 181]",1.0,1.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval.mxml.gz,Size4,SerialRemoval,0,Fixed,2000,Fixed,True,500,3,8
40,threshold_strategy,fixed_frequency_delta_percentage3,[181],"[59, 119, 181]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval.mxml.gz,Size4,SerialRemoval,0,Fixed,2000,Fixed,True,500,3,8
41,threshold_strategy,fixed_cramersv_frequency3,"[58, 117, 181]","[59, 119, 181]",1.0,1.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval.mxml.gz,Size4,SerialRemoval,0,Fixed,2000,Fixed,True,500,3,8
42,time_series_strategy,cpd_frequency_delta3,"[60, 106, 120, 185]","[60, 122, 185]",0.8,6.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_2.mxml.gz,Size4,SerialRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
43,time_series_strategy,cpd_prob_freq_delta3,"[61, 120, 185]","[60, 122, 185]",1.0,1.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_2.mxml.gz,Size4,SerialRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
44,time_series_strategy,cpd_cramersv_frequency3,[185],"[60, 122, 185]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_2.mxml.gz,Size4,SerialRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
45,threshold_strategy,gtest_frequency3,[185],"[60, 122, 185]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_2.mxml.gz,Size4,SerialRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
46,threshold_strategy,fixed_frequency_delta_percentage3,[185],"[60, 122, 185]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_2.mxml.gz,Size4,SerialRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
47,threshold_strategy,fixed_cramersv_frequency3,"[75, 78, 86, 89, 95, 101, 185]","[60, 122, 185]",0.0,22.67,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_2.mxml.gz,Size4,SerialRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
48,time_series_strategy,cpd_frequency_delta3,"[18, 56, 61, 123, 188]","[61, 124, 188]",0.67,12.25,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_5.mxml.gz,Size4,SerialRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
49,time_series_strategy,cpd_prob_freq_delta3,"[56, 62, 122, 127, 188]","[61, 124, 188]",0.67,2.75,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_5.mxml.gz,Size4,SerialRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
50,time_series_strategy,cpd_cramersv_frequency3,"[65, 118, 132, 140, 150, 188]","[61, 124, 188]",0.57,12.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_5.mxml.gz,Size4,SerialRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
51,threshold_strategy,gtest_frequency3,"[97, 100, 151, 154, 188]","[61, 124, 188]",0.0,27.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_5.mxml.gz,Size4,SerialRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
52,threshold_strategy,fixed_frequency_delta_percentage3,[188],"[61, 124, 188]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_5.mxml.gz,Size4,SerialRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
53,threshold_strategy,fixed_cramersv_frequency3,"[65, 73, 77, 86, 89, 92, 96, 112, 132, 139, 150, 188]","[61, 124, 188]",0.15,18.64,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\SerialRemoval\output\SerialRemoval_5.mxml.gz,Size4,SerialRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
54,time_series_strategy,cpd_frequency_delta3,"[27, 61, 69, 126, 192]","[62, 125, 192]",0.67,11.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip.mxml.gz,Size4,Skip,0,Fixed,2000,Fixed,True,500,3,8
